220201 222727.053|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to D:\pc2-9.7.0-6181\pc2-9.7.0\bin\logs directory.
220201 222727.053|INFO|AWT-EventQueue-0|info|
220201 222727.054|INFO|AWT-EventQueue-0|info|Version 9.7.0 20210317 (Wednesday, March 17th 2021 06:30 UTC) Java ver 1.8.0_311 build 6181 Windows 10 10.0 (amd64) 
220201 222727.054|INFO|AWT-EventQueue-0|info|Login: teamxx (aka team0)
220201 222727.055|INFO|AWT-EventQueue-0|startLog|Working directory is D:\pc2-9.7.0-6181\pc2-9.7.0\bin
220201 222727.056|INFO|AWT-EventQueue-0|startLog|Process id is 10928@DESKTOP-A2FRFRN
220201 222727.056|INFO|AWT-EventQueue-0|info|Contacting server at 192.168.247.135:50002 as TEAM0 @ site 0
220201 222727.057|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM0 @ site 0
220201 222727.062|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM0 @ site 0 -> SERVER0 @ site 0
220201 222727.063|INFO|Thread-4|run|send(Serializable)
220201 222727.065|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM0 @ site 0 -> SERVER0 @ site 0
220201 222727.065|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
220201 222727.365|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
220201 222727.381|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_FAILED] #13 SERVER0 @ site 1 -> TEAM0 @ site 0
220201 222727.382|INFO|Thread-5|dumpPacket|Packet LOGIN_FAILED (Seq #13, o#13 ) recieveObject
220201 222727.383|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D4I0OE9 @ 192.168.247.135) (Contest Id: Default--4957759304671347839)
220201 222727.384|INFO|Thread-5|dumpPacket|    To: TEAM0 @ site 0
220201 222727.384|INFO|Thread-5|dumpPacket|   key: MESSAGE_STRING is: java.lang.String No such account
220201 222727.385|INFO|Thread-5|info|handlePacket start Packet[LOGIN_FAILED] #13 SERVER0 @ site 1 -> TEAM0 @ site 0
220201 222727.386|INFO|Thread-5|dumpPacket|Packet LOGIN_FAILED (Seq #13, o#13 ) handlePacket
220201 222727.387|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D4I0OE9 @ 192.168.247.135) (Contest Id: Default--4957759304671347839)
220201 222727.387|INFO|Thread-5|dumpPacket|    To: TEAM0 @ site 0
220201 222727.387|INFO|Thread-5|dumpPacket|   key: MESSAGE_STRING is: java.lang.String No such account
220201 222728.975|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_FAILED] #13 SERVER0 @ site 1 -> TEAM0 @ site 0
