220205 104003.931|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to D:\pc2-9.7.0-6181\pc2-9.7.0\bin\logs directory.
220205 104003.931|INFO|AWT-EventQueue-0|info|
220205 104003.932|INFO|AWT-EventQueue-0|info|Version 9.7.0 20210317 (Wednesday, March 17th 2021 06:30 UTC) Java ver 1.8.0_311 build 6181 Windows 10 10.0 (amd64) 
220205 104003.932|INFO|AWT-EventQueue-0|info|Login: judgexx (aka judge0)
220205 104003.932|INFO|AWT-EventQueue-0|startLog|Working directory is D:\pc2-9.7.0-6181\pc2-9.7.0\bin
220205 104003.933|INFO|AWT-EventQueue-0|startLog|Process id is 7220@DESKTOP-A2FRFRN
220205 104003.934|INFO|AWT-EventQueue-0|info|Contacting server at localhost:50002 as JUDGE0 @ site 0
220205 104003.934|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from JUDGE0 @ site 0
220205 104003.935|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #2 JUDGE0 @ site 0 -> SERVER0 @ site 0
220205 104003.935|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #2 JUDGE0 @ site 0 -> SERVER0 @ site 0
220205 104003.935|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
220205 104003.935|INFO|Thread-6|run|send(Serializable)
220205 104003.949|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
220205 104003.953|INFO|Thread-7|info| receiveObject(S) start got Packet[LOGIN_FAILED] #11 SERVER0 @ site 1 -> JUDGE0 @ site 0
220205 104003.953|INFO|Thread-7|dumpPacket|Packet LOGIN_FAILED (Seq #11, o#11 ) recieveObject
220205 104003.954|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-A2FRFRN @ 192.168.10.112) (Contest Id: Default--4957759304671347839)
220205 104003.954|INFO|Thread-7|dumpPacket|    To: JUDGE0 @ site 0
220205 104003.954|INFO|Thread-7|dumpPacket|   key: MESSAGE_STRING is: java.lang.String No such account
220205 104003.954|INFO|Thread-7|info|handlePacket start Packet[LOGIN_FAILED] #11 SERVER0 @ site 1 -> JUDGE0 @ site 0
220205 104003.955|INFO|Thread-7|dumpPacket|Packet LOGIN_FAILED (Seq #11, o#11 ) handlePacket
220205 104003.955|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-A2FRFRN @ 192.168.10.112) (Contest Id: Default--4957759304671347839)
220205 104003.955|INFO|Thread-7|dumpPacket|    To: JUDGE0 @ site 0
220205 104003.955|INFO|Thread-7|dumpPacket|   key: MESSAGE_STRING is: java.lang.String No such account
220205 104005.671|INFO|Thread-7|info| receiveObject(S) end   got Packet[LOGIN_FAILED] #11 SERVER0 @ site 1 -> JUDGE0 @ site 0
