220205 123944.619|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to D:\pc2-9.7.0-6181\pc2-9.7.0\bin\logs directory.
220205 123944.620|INFO|AWT-EventQueue-0|info|
220205 123944.620|INFO|AWT-EventQueue-0|info|Version 9.7.0 20210317 (Wednesday, March 17th 2021 06:30 UTC) Java ver 1.8.0_311 build 6181 Windows 10 10.0 (amd64) 
220205 123944.620|INFO|AWT-EventQueue-0|info|Login: judgexx (aka judge0)
220205 123944.621|INFO|AWT-EventQueue-0|startLog|Working directory is D:\pc2-9.7.0-6181\pc2-9.7.0\bin
220205 123944.622|INFO|AWT-EventQueue-0|startLog|Process id is 7220@DESKTOP-A2FRFRN
220205 123944.622|INFO|AWT-EventQueue-0|info|Contacting server at localhost:50002 as JUDGE0 @ site 0
220205 123944.623|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from JUDGE0 @ site 0
220205 123944.624|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #3 JUDGE0 @ site 0 -> SERVER0 @ site 0
220205 123944.625|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #3 JUDGE0 @ site 0 -> SERVER0 @ site 0
220205 123944.625|INFO|Thread-8|run|send(Serializable)
220205 123944.625|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
220205 123944.638|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
220205 123944.641|INFO|Thread-9|info| receiveObject(S) start got Packet[LOGIN_FAILED] #19 SERVER0 @ site 1 -> JUDGE0 @ site 0
220205 123944.641|INFO|Thread-9|dumpPacket|Packet LOGIN_FAILED (Seq #19, o#19 ) recieveObject
220205 123944.642|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-A2FRFRN @ 192.168.10.112) (Contest Id: Default--4957759304671347839)
220205 123944.642|INFO|Thread-9|dumpPacket|    To: JUDGE0 @ site 0
220205 123944.642|INFO|Thread-9|dumpPacket|   key: MESSAGE_STRING is: java.lang.String No such account
220205 123944.642|INFO|Thread-9|info|handlePacket start Packet[LOGIN_FAILED] #19 SERVER0 @ site 1 -> JUDGE0 @ site 0
220205 123944.642|INFO|Thread-9|dumpPacket|Packet LOGIN_FAILED (Seq #19, o#19 ) handlePacket
220205 123944.643|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-A2FRFRN @ 192.168.10.112) (Contest Id: Default--4957759304671347839)
220205 123944.643|INFO|Thread-9|dumpPacket|    To: JUDGE0 @ site 0
220205 123944.643|INFO|Thread-9|dumpPacket|   key: MESSAGE_STRING is: java.lang.String No such account
220205 123946.091|INFO|Thread-9|info| receiveObject(S) end   got Packet[LOGIN_FAILED] #19 SERVER0 @ site 1 -> JUDGE0 @ site 0
